X,Y,pred,s
1514483.04,-3635144.1,19.681853,3.923905
1514493.04,-3635144.1,19.401545,3.924033
1514503.04,-3635144.1,19.1215,3.924661
1514513.04,-3635144.1,18.845714,3.925138
1514523.04,-3635144.1,18.601588,3.921619
1514533.04,-3635144.1,18.357774,3.919731
1514543.04,-3635144.1,18.114286,3.919481
1514553.04,-3635144.1,17.871138,3.920879
1514563.04,-3635144.1,17.628342,3.923932
1514573.04,-3635144.1,17.385908,3.928647
1514583.04,-3635144.1,17.143846,3.935033
1514593.04,-3635144.1,16.902167,3.943097
1514143.04,-3635134.1,17.219686,3.449039
1514153.04,-3635134.1,17.225388,3.453607
1514163.04,-3635134.1,17.23081,3.458252
1514173.04,-3635134.1,17.235951,3.463005
1514183.04,-3635134.1,17.240811,3.467897
1514193.04,-3635134.1,17.245389,3.472957
1514203.04,-3635134.1,17.249687,3.478213
1514213.04,-3635134.1,17.268466,3.48375
1514223.04,-3635134.1,17.403323,3.490103
1514233.04,-3635134.1,17.537909,3.496918
1514243.04,-3635134.1,17.672228,3.504214
1514253.04,-3635134.1,17.80629,3.512003
1514263.04,-3635134.1,17.940102,3.520296
1514273.04,-3635134.1,18.073678,3.529099
1514283.04,-3635134.1,18.207029,3.538415
1514293.04,-3635134.1,18.34017,3.548244
1514303.04,-3635134.1,18.47312,3.55858
1514313.04,-3635134.1,18.626751,3.569543
1514323.04,-3635134.1,18.944621,3.584993
1514333.04,-3635134.1,19.26236,3.606247
1514343.04,-3635134.1,19.579992,3.633192
1514353.04,-3635134.1,19.897539,3.66569
1514363.04,-3635134.1,20.215027,3.70358
1514373.04,-3635134.1,20.532482,3.746683
1514383.04,-3635134.1,20.849929,3.794806
1514393.04,-3635134.1,21.167394,3.847746
1514403.04,-3635134.1,21.484904,3.90529
1514413.04,-3635134.1,21.733638,3.959474
1514423.04,-3635134.1,21.439764,3.954842
1514433.04,-3635134.1,21.14601,3.950888
1514443.04,-3635134.1,20.852399,3.947601
1514453.04,-3635134.1,20.558955,3.944973
1514463.04,-3635134.1,20.2657,3.942995
1514473.04,-3635134.1,19.972654,3.941659
1514483.04,-3635134.1,19.67984,3.940959
1514493.04,-3635134.1,19.387275,3.940893
1514503.04,-3635134.1,19.094978,3.941456
1514513.04,-3635134.1,18.806046,3.941995
1514523.04,-3635134.1,18.541699,3.938466
1514533.04,-3635134.1,18.277668,3.936392
1514543.04,-3635134.1,18.013966,3.935779
1514553.04,-3635134.1,17.750607,3.936635
1514563.04,-3635134.1,17.487601,3.938969
1514573.04,-3635134.1,17.22496,3.942788
1514583.04,-3635134.1,16.962693,3.948101
1514593.04,-3635134.1,16.700809,3.954915
1514143.04,-3635124.1,17.443313,3.460695
1514153.04,-3635124.1,17.41907,3.465408
1514163.04,-3635124.1,17.394569,3.470168
1514173.04,-3635124.1,17.369812,3.475003
1514183.04,-3635124.1,17.344799,3.47994
1514193.04,-3635124.1,17.319533,3.485008
1514203.04,-3635124.1,17.294017,3.490231
1514213.04,-3635124.1,17.28765,3.495708
1514223.04,-3635124.1,17.433944,3.502103
1514233.04,-3635124.1,17.580001,3.508963
1514243.04,-3635124.1,17.725827,3.516304
1514253.04,-3635124.1,17.87143,3.524138
1514263.04,-3635124.1,18.01682,3.532475
1514273.04,-3635124.1,18.162009,3.541322
1514283.04,-3635124.1,18.307009,3.55068
1514293.04,-3635124.1,18.451835,3.560551
1514303.04,-3635124.1,18.596504,3.57093
1514313.04,-3635124.1,18.759995,3.582137
1514323.04,-3635124.1,19.072834,3.599305
1514333.04,-3635124.1,19.385574,3.622095
1514343.04,-3635124.1,19.698235,3.650393
